in wonder boys michael douglas plays an aged writer \ professor with such lived-in naturalism that i believe it may be his best performance . 	Translation	Positive	Negative	EmotionRationale
ever since wall street , douglas has spent the greater part of his career playing variations on the shark in a suit gordon gecko character he personified in the mid-80's . 	ever since wall street , douglas has spent the greater part of his career playing variations on the shark in a suit gordon gecko character he personified in the mid-80's .	3	-2	 ever[0] since[0] wall[0] street[0] douglas[0] has[0] spent[0] the[0] greater[2] part[0] of[0] his[0] career[0] playing[1] variations[0] on[0] the[0] shark[-1] in[0] a[0] suit[0] gordon[0] gecko[0] character[0] he[0] personified[0] in[0] the[0] mid[0] -80's[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
in those performances he tended to exaggerate the vehemence of cutthroat businessmen , with much frothing at the mouth while projecting all his bad intentions to the world . 	in those performances he tended to exaggerate the vehemence of cutthroat businessmen , with much frothing at the mouth while projecting all his bad intentions to the world .	1	-2	 in[0] those[0] performances[0] he[0] tended[0] to[0] exaggerate[-1] the[0] vehemence[0] of[0] cutthroat[0] businessmen[0] with[0] much[0] frothing[0] at[0] the[0] mouth[0] while[0] projecting[0] all[0] his[0] bad[-1] intentions[0] to[0] the[0] world[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
you'd think such a man would keep his evil wrapped tightly underneath a good-natured veneer , but from gordon gecko to nicholas van orton , douglas played the role straight and out in the open . 	you'd think such a man would keep his evil wrapped tightly underneath a good-natured veneer , but from gordon gecko to nicholas van orton , douglas played the role straight and out in the open .	2	-3	 you'd[0] think[0] such[0] a[0] man[0] would[0] keep[0] his[0] evil[-2] wrapped[0] tightly[0] underneath[0] a[0] good[1] natured[0] veneer[0] but[0] from[0] gordon[0] gecko[0] to[0] nicholas[0] van[0] orton[0] douglas[0] played[0] the[0] role[0] straight[0] and[0] out[0] in[0] the[0] open[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
in wonder boys his performance isn't showy or a tour de force , it's simple yet truthful . 	in wonder boys his performance isn't showy or a tour de force , it's simple yet truthful .	2	-2	 in[0] wonder[0] boys[0] his[0] performance[0] isn't[0] showy[0] or[0] a[0] tour[0] de[0] force[-1] it's[0] simple[0] yet[0] truthful[1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
he embodies grady , a craggy old writer with a predilection for pot and pink bathrobes . 	he embodies grady , a craggy old writer with a predilection for pot and pink bathrobes .	1	-1	 he[0] embodies[0] grady[0] a[0] craggy[0] old[0] writer[0] with[0] a[0] predilection[0] for[0] pot[0] and[0] pink[0] bathrobes[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
grady instructs a writers workshop while working tirelessly on a follow up to the novel that put him on the map . 	grady instructs a writers workshop while working tirelessly on a follow up to the novel that put him on the map .	1	-1	 grady[0] instructs[0] a[0] writers[0] workshop[0] while[0] working[0] tirelessly[0] on[0] a[0] follow[0] up[0] to[0] the[0] novel[0] that[0] put[0] him[0] on[0] the[0] map[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
when we first encounter this curmudgeon in the midst of his workshop , we hear his sardonic narration on the soundtrack as students bombard one of their own with unfair criticisms . 	when we first encounter this curmudgeon in the midst of his workshop , we hear his sardonic narration on the soundtrack as students bombard one of their own with unfair criticisms .	1	-2	 when[0] we[0] first[0] encounter[0] this[0] curmudgeon[0] in[0] the[0] midst[0] of[0] his[0] workshop[0] we[0] hear[0] his[0] sardonic[0] narration[0] on[0] the[0] soundtrack[0] as[0] students[0] bombard[-1] one[0] of[0] their[0] own[0] with[0] unfair[-1] criticisms[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
grady points out , in his narration , that they only do so out of jealousy . 	grady points out , in his narration , that they only do so out of jealousy .	1	-3	 grady[0] points[0] out[0] in[0] his[0] narration[0] that[0] they[0] only[0] do[0] so[0] out[0] of[0] jealousy[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
their target is the very writerly named james leer ( played by the always understated tobey maguire ) , a student full of potential and one whom grady develops a mild affection for . 	their target is the very writerly named james leer ( played by the always understated tobey maguire ) , a student full of potential and one whom grady develops a mild affection for .	3	-1	 their[0] target[0] is[0] the[0] very[0] writerly[0] named[0] james[0] leer[0] played[0] by[0] the[0] always[0] understated[0] tobey[0] maguire[0] a[0] student[0] full[0] of[0] potential[0] and[0] one[0] whom[0] grady[0] develops[0] a[0] mild[0] affection[2] for[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
leer is the kind of youth who seems to mechanically block out emotions . 	leer is the kind of youth who seems to mechanically block out emotions .	2	-2	 leer[0] is[0] the[0] kind[1] of[0] youth[0] who[0] seems[0] to[0] mechanically[0] block[-1] out[0] emotions[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
he speaks in an intellectualized monotone with just a hint of dry wit around the edges . 	he speaks in an intellectualized monotone with just a hint of dry wit around the edges .	1	-1	 he[0] speaks[0] in[0] an[0] intellectualized[0] monotone[0] with[0] just[0] a[0] hint[0] of[0] dry[0] wit[0] around[0] the[0] edges[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he's portentous and gloomy , as if modeling himself after the great depressed writers , though his act is a little too calculated . 	he's portentous and gloomy , as if modeling himself after the great depressed writers , though his act is a little too calculated .	3	-4	 he's[0] portentous[0] and[0] gloomy[-2] as[0] if[0] modeling[0] himself[0] after[0] the[0] great[2] depressed[-3] writers[0] though[0] his[0] act[0] is[0] a[0] little[0] too[0] calculated[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
