seen may 31 , 1999 on home video ( rented ) . 	Translation	Positive	Negative	EmotionRationale
one of the best things about the movies is that they can make you really start to wonder and analyze things in your own , everyday life that you might not have thought much of otherwise . 	one of the best things about the movies is that they can make you really start to wonder and analyze things in your own , everyday life that you might not have thought much of otherwise .	2	-1	 one[0] of[0] the[0] best[1] things[0] about[0] the[0] movies[0] is[0] that[0] they[0] can[0] make[0] you[0] really[0] start[0] to[0] wonder[0] and[0] analyze[0] things[0] in[0] your[0] own[0] everyday[0] life[0] that[0] you[0] might[0] not[0] have[0] thought[0] much[0] of[0] otherwise[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
with some films it might be just a secondary issue , but with  dark city' what we get is nearly an entire film committed to philosophizing and theorizing about human memory and how it defines who we are , which is a poignant theme made through an absolutely beautifully-constructed film with the kind of story and setting that could only happen in a movie . 	with some films it might be just a secondary issue , but with  dark city' what we get is nearly an entire film committed to philosophizing and theorizing about human memory and how it defines who we are , which is a poignant theme made through an absolutely beautifully-constructed film with the kind of story and setting that could only happen in a movie .	4	-1	 with[0] some[0] films[0] it[0] might[0] be[0] just[0] a[0] secondary[0] issue[0] but[0] with[0] dark[0] city'[0] what[0] we[0] get[0] is[0] nearly[0] an[0] entire[0] film[0] committed[0] to[0] philosophizing[0] and[0] theorizing[0] about[0] human[0] memory[0] and[0] how[0] it[0] defines[0] who[0] we[0] are[0] which[0] is[0] a[0] poignant[0] theme[0] made[0] through[0] an[0] absolutely[0] beautifully[2][1 LastWordBoosterStrength] constructed[0] film[0] with[0] the[0] kind[1] of[0] story[0] and[0] setting[0] that[0] could[0] only[0] happen[0] in[0] a[0] movie[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
there's an old role-playing computer game called  d ? ja v ? ' wherein the player takes on the role of a man who can't remember who he is , where he is and how he got there . 	there's an old role-playing computer game called  d ?<br> ja v ?<br> ' wherein the player takes on the role of a man who can't remember who he is , where he is and how he got there .	2	-1	 there's[0] an[0] old[0] role[0] playing[1] computer[0] game[0] called[0] d[0] [[Sentence=-1,2=word max, 1-5]] ja[0] v[0] [[Sentence=-1,1=word max, 1-5]] '[0] wherein[0] the[0] player[0] takes[0] on[0] the[0] role[0] of[0] a[0] man[0] who[0] can't[0] remember[0] who[0] he[0] is[0] where[0] he[0] is[0] and[0] how[0] he[0] got[0] there[0] [[Sentence=-1,1=word max, 1-5]][[[2,-1 max of sentences]]]
the goal is to gather as many clues as possible to figure that out and along the way overcome a conflict . 	the goal is to gather as many clues as possible to figure that out and along the way overcome a conflict .	1	-2	 the[0] goal[0] is[0] to[0] gather[0] as[0] many[0] clues[0] as[0] possible[0] to[0] figure[0] that[0] out[0] and[0] along[0] the[0] way[0] overcome[0] a[0] conflict[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the premise to this film is not unlike that game , only this time we don't have control over the protagonist . 	the premise to this film is not unlike that game , only this time we don't have control over the protagonist .	1	-1	 the[0] premise[0] to[0] this[0] film[0] is[0] not[0] unlike[0] that[0] game[0] only[0] this[0] time[0] we[0] don't[0] have[0] control[0] over[0] the[0] protagonist[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
we begin by meeting a seemingly ordinary man living in an extremely dark and dirty city ( actually , it's more than just the city , it's the whole reality ) that isn't just that neo-gothic look ( a la  batman , '  blade runner , ' ) , but is so fully developed it's almost a different genre completely . 	we begin by meeting a seemingly ordinary man living in an extremely dark and dirty city ( actually , it's more than just the city , it's the whole reality ) that isn't just that neo-gothic look ( a la  batman , '  blade runner , ' ) , but is so fully developed it's almost a different genre completely .	1	-2	 we[0] begin[0] by[0] meeting[0] a[0] seemingly[0] ordinary[0] man[0] living[0] in[0] an[0] extremely[0] dark[0] and[0] dirty[-1] city[0] actually[0] it's[0] more[0] than[0] just[0] the[0] city[0] it's[0] the[0] whole[0] reality[0] that[0] isn't[0] just[0] that[0] neo[0] gothic[0] look[0] a[0] la[0] batman[0] '[0] blade[0] runner[0] '[0] but[0] is[0] so[0] fully[0] developed[0] it's[0] almost[0] a[0] different[0] genre[0] completely[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
later he will learn that his name is john murdoch ( sewell ) , but for now he has no idea what's going on other than the fact something is not right . 	later he will learn that his name is john murdoch ( sewell ) , but for now he has no idea what's going on other than the fact something is not right .	1	-1	 later[0] he[0] will[0] learn[0] that[0] his[0] name[0] is[0] john[0] murdoch[0] sewell[0] but[0] for[0] now[0] he[0] has[0] no[0] idea[0] what's[0] going[0] on[0] other[0] than[0] the[0] fact[0] something[0] is[0] not[0] right[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the fact there's a dead body in the corner goes to enhance the feeling of paranoia and a mysterious , hurried call telling him to leave immediately is also very chilling . 	the fact there's a dead body in the corner goes to enhance the feeling of paranoia and a mysterious , hurried call telling him to leave immediately is also very chilling .	1	-3	 the[0] fact[0] there's[0] a[0] dead[-2] body[0] in[0] the[0] corner[0] goes[0] to[0] enhance[0] the[0] feeling[0] of[0] paranoia[-2] and[0] a[0] mysterious[0] hurried[0] call[0] telling[0] him[0] to[0] leave[0] immediately[0] is[0] also[0] very[0] chilling[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
this opening scene alone goes a long way to define the setting of the film and its bizarre , horrific tone . 	this opening scene alone goes a long way to define the setting of the film and its bizarre , horrific tone .	1	-4	 this[0] opening[0] scene[0] alone[0] goes[0] a[0] long[0] way[0] to[0] define[0] the[0] setting[0] of[0] the[0] film[0] and[0] its[0] bizarre[-1] horrific[-3] tone[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
the man doesn't know who he is nor where he's going and it's interesting to follow him since we the viewers have no idea either we can sympathize and identify with him . 	the man doesn't know who he is nor where he's going and it's interesting to follow him since we the viewers have no idea either we can sympathize and identify with him .	2	-1	 the[0] man[0] doesn't[0] know[0] who[0] he[0] is[0] nor[0] where[0] he's[0] going[0] and[0] it's[0] interesting[1] to[0] follow[0] him[0] since[0] we[0] the[0] viewers[0] have[0] no[0] idea[0] either[0] we[0] can[0] sympathize[0] and[0] identify[0] with[0] him[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
