for those of us who weren't yet born when the 1960's rock 'n' rolled around , monterey pop affords an affectionate glimpse of the music that influenced our parents to be hippies . 	Translation	Positive	Negative	EmotionRationale
from otis redding to jimi hendrix , janis joplin to the mamas and the papas , and jefferson airplane to the who , this documentary is jam-packed with contagious energy . 	from otis redding to jimi hendrix , janis joplin to the mamas and the papas , and jefferson airplane to the who , this documentary is jam-packed with contagious energy .	1	-2	 from[0] otis[0] redding[0] to[0] jimi[0] hendrix[0] janis[0] joplin[0] to[0] the[0] mamas[0] and[0] the[0] papas[0] and[0] jefferson[0] airplane[0] to[0] the[0] who[0] this[0] documentary[0] is[0] jam[0] packed[0] with[0] contagious[-1] energy[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
but i give fair warning that i will reveal the ending , which does not do the rest of the film the justice it deserves . 	but i give fair warning that i will reveal the ending , which does not do the rest of the film the justice it deserves .	1	-1	 but[0] i[0] give[0] fair[0] warning[0] that[0] i[0] will[0] reveal[0] the[0] ending[0] which[0] does[0] not[0] do[0] the[0] rest[0] of[0] the[0] film[0] the[0] justice[0] it[0] deserves[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
shot in 1969 at an outdoor concert that precluded woodstock , the film defies the stereotype of the general population at the time . 	shot in 1969 at an outdoor concert that precluded woodstock , the film defies the stereotype of the general population at the time .	1	-2	 shot[-1] in[0] 1969[0] at[0] an[0] outdoor[0] concert[0] that[0] precluded[0] woodstock[0] the[0] film[0] defies[0] the[0] stereotype[0] of[0] the[0] general[0] population[0] at[0] the[0] time[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
sure , some have painted their faces and smoke joints , but d . a . 	sure , some have painted their faces and smoke joints , but d .<br> a .	1	-1	 sure[0] some[0] have[0] painted[0] their[0] faces[0] and[0] smoke[0] joints[0] but[0] d[0] [[Sentence=-1,1=word max, 1-5]] a[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
pennebaker ( the war room , moon over broadway ) surprisingly chooses to show a broad spectrum of the audience . 	pennebaker ( the war room , moon over broadway ) surprisingly chooses to show a broad spectrum of the audience .	1	-3	 pennebaker[0] the[0] war[-2] room[0] moon[0] over[0] broadway[0] surprisingly[0] chooses[0] to[0] show[0] a[0] broad[0] spectrum[0] of[0] the[0] audience[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
no matter who is watching , it all comes back to the talented musicians that stir your soul . 	no matter who is watching , it all comes back to the talented musicians that stir your soul .	2	-1	 no[0] matter[0] who[0] is[0] watching[0] it[0] all[0] comes[0] back[0] to[0] the[0] talented[1] musicians[0] that[0] stir[0] your[0] soul[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the excitement starts before the music even begins . 	the excitement starts before the music even begins .	3	-1	 the[0] excitement[2] starts[0] before[0] the[0] music[0] even[0] begins[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
a young girl is cleaning thousands of seats and when asked why by an interviewer , she replies that she feels lucky to do so . 	a young girl is cleaning thousands of seats and when asked why by an interviewer , she replies that she feels lucky to do so .	2	-1	 a[0] young[0] girl[0] is[0] cleaning[0] thousands[0] of[0] seats[0] and[0] when[0] asked[0] why[0] by[0] an[0] interviewer[0] she[0] replies[0] that[0] she[0] feels[0] lucky[1] to[0] do[0] so[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
there are moments of organized craziness as john phillips , leader of the mamas and the papas and one of the concert organizers , tries to get in touch with dionne warwick . 	there are moments of organized craziness as john phillips , leader of the mamas and the papas and one of the concert organizers , tries to get in touch with dionne warwick .	1	-2	 there[0] are[0] moments[0] of[0] organized[0] craziness[-1] as[0] john[0] phillips[0] leader[0] of[0] the[0] mamas[0] and[0] the[0] papas[0] and[0] one[0] of[0] the[0] concert[0] organizers[0] tries[0] to[0] get[0] in[0] touch[0] with[0] dionne[0] warwick[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
and when one band is tuning up , a member remarks , " finally , a decent sound system ! " 	and when one band is tuning up , a member remarks , " finally , a decent sound system !<br> "	1	-1	 and[0] when[0] one[0] band[0] is[0] tuning[0] up[0] a[0] member[0] remarks[0] finally[0] a[0] decent[0] sound[0] system[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
