plot : a young man who loves heavy metal music and especially the band steel dragon , to whom he's devoted a tribute band in which he sings , gets launched into stardom when the real group get rid of their lead singer and call on him to take his place . 	Translation	Positive	Negative	EmotionRationale
critique : i'm a sucker for movies like this . 	critique : i'm a sucker for movies like this .	2	-2	 critique[0] i'm[0] a[0] sucker[-1] for[0] movies[0] like[1] this[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
a young man with a humble background and lofty dreams , works hard , devotes the time , the energy and the patience , and ultimately hits it big-time . 	a young man with a humble background and lofty dreams , works hard , devotes the time , the energy and the patience , and ultimately hits it big-time .	3	-1	 a[0] young[0] man[0] with[0] a[0] humble[0] background[0] and[0] lofty[0] dreams[0] works[0] hard[0] devotes[2] the[0] time[0] the[0] energy[0] and[0] the[0] patience[0] and[0] ultimately[0] hits[0] it[0] big[0] time[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
in the case of this film , our boy loves a certain heavy metal band and as luck would have it ( yup , luck always finds its way into these types of equations , although generally tied very closely to hard work ) , they need a new singer . 	in the case of this film , our boy loves a certain heavy metal band and as luck would have it ( yup , luck always finds its way into these types of equations , although generally tied very closely to hard work ) , they need a new singer .	3	-1	 in[0] the[0] case[0] of[0] this[0] film[0] our[0] boy[0] loves[2] a[0] certain[0] heavy[0] metal[0] band[0] and[0] as[0] luck[2] would[0] have[0] it[0] yup[0] luck[2] always[0] finds[0] its[0] way[0] into[0] these[0] types[0] of[0] equations[0] although[0] generally[0] tied[0] very[0] closely[0] to[0] hard[0] work[0] they[0] need[0] a[0] new[0] singer[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
his entry and adaptation to the whole " rock 'n roll " lifestyle fills the rest of the film and is really fun to watch . 	his entry and adaptation to the whole " rock 'n roll " lifestyle fills the rest of the film and is really fun to watch .	3	-1	 his[0] entry[0] and[0] adaptation[0] to[0] the[0] whole[0] rock[1] 'n[0] roll[0] lifestyle[0] fills[0] the[0] rest[0] of[0] the[0] film[0] and[0] is[0] really[0] fun[1][1 LastWordBoosterStrength] to[0] watch[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
although i will preface this by saying that one thing that would definitely enhance your appreciation for this film is your own love ( or past love ) of heavy metal music and the whole scene around it . 	although i will preface this by saying that one thing that would definitely enhance your appreciation for this film is your own love ( or past love ) of heavy metal music and the whole scene around it .	3	-1	 although[0] i[0] will[0] preface[0] this[0] by[0] saying[0] that[0] one[0] thing[0] that[0] would[0] definitely[0] enhance[0] your[0] appreciation[1] for[0] this[0] film[0] is[0] your[0] own[0] love[2] or[0] past[0] love[2] of[0] heavy[0] metal[0] music[0] and[0] the[0] whole[0] scene[0] around[0] it[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
metal was one of my first loves as a teen and even though the genre of music isn't that prominent anymore , i still check out my motley crue , twisted sister and anthrax cds every now and again . 	metal was one of my first loves as a teen and even though the genre of music isn't that prominent anymore , i still check out my motley crue , twisted sister and anthrax cds every now and again .	3	-2	 metal[0] was[0] one[0] of[0] my[0] first[0] loves[2] as[0] a[0] teen[0] and[0] even[0] though[0] the[0] genre[0] of[0] music[0] isn't[0] that[0] prominent[0] anymore[0] i[0] still[0] check[0] out[0] my[0] motley[-1] crue[0] twisted[0] sister[0] and[0] anthrax[0] cds[0] every[0] now[0] and[0] again[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
that's not to say that you won't like this film if you don't like the music , but the music and live performances from the band , play a big part in the movie , and i for one , had a blast watching and listening to it all . 	that's not to say that you won't like this film if you don't like the music , but the music and live performances from the band , play a big part in the movie , and i for one , had a blast watching and listening to it all .	1	-2	 that's[0] not[0] to[0] say[0] that[0] you[0] won't[0] like[1][NegatedDueToPreviousWord] this[0] film[0] if[0] you[0] don't[0] like[1][NegatedDueToPreviousWord] the[0] music[0] but[0] the[0] music[0] and[0] live[0] performances[0] from[0] the[0] band[0] play[0] a[0] big[0] part[0] in[0] the[0] movie[0] and[0] i[0] for[0] one[0] had[0] a[0] blast[0] watching[0] and[0] listening[0] to[0] it[0] all[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
but the even greater draw in this film is the standout performance given here by mark wahlberg . 	but the even greater draw in this film is the standout performance given here by mark wahlberg .	3	-1	 but[0] the[0] even[0] greater[2] draw[0] in[0] this[0] film[0] is[0] the[0] standout[0] performance[0] given[0] here[0] by[0] mark[0] wahlberg[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
wow , hand this fella some major props , as he totally becomes this heavy metal geek/god ( incidentally , metal god was the film's original title , and a much better one if you ask me ) . 	wow , hand this fella some major props , as he totally becomes this heavy metal geek/god ( incidentally , metal god was the film's original title , and a much better one if you ask me ) .	3	-1	 wow[2] hand[0] this[0] fella[0] some[0] major[0] props[0] as[0] he[0] totally[0] becomes[0] this[0] heavy[0] metal[0] geek/god[0] incidentally[0] metal[0] god[0] was[0] the[0] film's[0] original[0] title[0] and[0] a[0] much[0] better[0] one[0] if[0] you[0] ask[0] me[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
he is this movie and i was quite taken by his character pretty much the whole way through . 	he is this movie and i was quite taken by his character pretty much the whole way through .	3	-1	 he[0] is[0] this[0] movie[0] and[0] i[0] was[0] quite[0] taken[0] by[0] his[0] character[0] pretty[2] much[0] the[0] whole[0] way[0] through[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
