you've got mail works alot better than it deserves to . 	Translation	Positive	Negative	EmotionRationale
in order to make the film a success , all they had to do was cast two extremely popular and attractive stars , have them share the screen for about two hours and then collect the profits . 	in order to make the film a success , all they had to do was cast two extremely popular and attractive stars , have them share the screen for about two hours and then collect the profits .	3	-1	 in[0] order[0] to[0] make[0] the[0] film[0] a[0] success[2] all[0] they[0] had[0] to[0] do[0] was[0] cast[0] two[0] extremely[0] popular[0] and[0] attractive[1] stars[0] have[0] them[0] share[0] the[0] screen[0] for[0] about[0] two[0] hours[0] and[0] then[0] collect[0] the[0] profits[1] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
no real acting was involved and there is not an original or inventive bone in it's body ( it's basically a complete re-shoot of the shop around the corner , only adding a few modern twists ) . 	no real acting was involved and there is not an original or inventive bone in it's body ( it's basically a complete re-shoot of the shop around the corner , only adding a few modern twists ) .	1	-2	 no[0] real[0] acting[0] was[0] involved[0] and[0] there[0] is[0] not[0] an[0] original[0] or[0] inventive[0] bone[0] in[0] it's[0] body[0] it's[0] basically[0] a[0] complete[0] re[0] shoot[-1] of[0] the[0] shop[0] around[0] the[0] corner[0] only[0] adding[0] a[0] few[0] modern[0] twists[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
essentially , it goes against and defies all concepts of good contemporary filmmaking . 	essentially , it goes against and defies all concepts of good contemporary filmmaking .	2	-2	 essentially[0] it[0] goes[0] against[-1] and[0] defies[0] all[0] concepts[0] of[0] good[1] contemporary[0] filmmaking[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
it's overly sentimental and at times terribly mushy , not to mention very manipulative . 	it's overly sentimental and at times terribly mushy , not to mention very manipulative .	3	-4	 it's[0] overly[0] sentimental[2] and[0] at[0] times[0] terribly[-3] mushy[0] not[0] to[0] mention[0] very[0] manipulative[-1][-1 LastWordBoosterStrength] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
but oh , how enjoyable that manipulation is . 	but oh , how enjoyable that manipulation is .	3	-2	 but[0] oh[0] how[0] enjoyable[2] that[0] manipulation[-1] is[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
but there must be something other than the casting and manipulation that makes the movie work as well as it does , because i absolutely hated the previous ryan/hanks teaming , sleepless in seattle . 	but there must be something other than the casting and manipulation that makes the movie work as well as it does , because i absolutely hated the previous ryan/hanks teaming , sleepless in seattle .	1	-5	 but[0] there[0] must[0] be[0] something[0] other[0] than[0] the[0] casting[0] and[0] manipulation[-1] that[0] makes[0] the[0] movie[0] work[0] as[0] well[0] as[0] it[0] does[0] because[0] i[0] absolutely[0] hated[-3][-1 LastWordBoosterStrength] the[0] previous[0] ryan/hanks[0] teaming[0] sleepless[-1] in[0] seattle[0] [[Sentence=-5,1=word max, 1-5]][[[1,-5 max of sentences]]]
it couldn't have been the directing , because both films were helmed by the same woman . 	it couldn't have been the directing , because both films were helmed by the same woman .	1	-1	 it[0] couldn't[0] have[0] been[0] the[0] directing[0] because[0] both[0] films[0] were[0] helmed[0] by[0] the[0] same[0] woman[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i haven't quite yet figured out what i liked so much about you've got mail , but then again , is that really important ? 	i haven't quite yet figured out what i liked so much about you've got mail , but then again , is that really important ?	3	-1	 i[0] haven't[0] quite[0] yet[0] figured[0] out[0] what[0] i[0] liked[2] so[0] much[0] about[0] you've[0] got[0] mail[0] but[0] then[0] again[0] is[0] that[0] really[0] important[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
if you like something so much , why even question it ? 	if you like something so much , why even question it ?	2	-1	 if[0] you[0] like[1] something[0] so[0] much[0] why[0] even[0] question[0] it[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
again , the storyline is as cliched as they come . 	again , the storyline is as cliched as they come .	1	-1	 again[0] the[0] storyline[0] is[0] as[0] cliched[0] as[0] they[0] come[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
tom hanks plays joe fox , the insanely likeable owner of a discount book chain and meg ryan plays kathleen kelley , the even more insanely likeable proprietor of a family-run children's book shop called , in a nice homage , the shop around the corner . 	tom hanks plays joe fox , the insanely likeable owner of a discount book chain and meg ryan plays kathleen kelley , the even more insanely likeable proprietor of a family-run children's book shop called , in a nice homage , the shop around the corner .	3	-1	 tom[0] hanks[0] plays[1] joe[0] fox[0] the[0] insanely[0] likeable[2] owner[0] of[0] a[0] discount[0] book[0] chain[0] and[0] meg[0] ryan[0] plays[1] kathleen[0] kelley[0] the[0] even[0] more[0] insanely[0] likeable[2] proprietor[0] of[0] a[0] family[0] run[0] children's[0] book[0] shop[0] called[0] in[0] a[0] nice[1] homage[0] the[0] shop[0] around[0] the[0] corner[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
