every now and then a movie comes along from a suspect studio , with every indication that it will be a stinker , and to everybody's surprise ( perhaps even the studio ) the film becomes a critical darling . 	Translation	Positive	Negative	EmotionRationale
mtv films' _election , a high school comedy starring matthew broderick and reese witherspoon , is a current example . 	mtv films' _election , a high school comedy starring matthew broderick and reese witherspoon , is a current example .	1	-1	 mtv[0] films'[0] _election[0] a[0] high[0] school[0] comedy[0] starring[0] matthew[0] broderick[0] and[0] reese[0] witherspoon[0] is[0] a[0] current[0] example[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
did anybody know this film existed a week before it opened ? 	did anybody know this film existed a week before it opened ?	1	-1	 did[0] anybody[0] know[0] this[0] film[0] existed[0] a[0] week[0] before[0] it[0] opened[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the plot is deceptively simple . 	the plot is deceptively simple .	1	-2	 the[0] plot[0] is[0] deceptively[-1] simple[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
george washington carver high school is having student elections . 	george washington carver high school is having student elections .	1	-1	 george[0] washington[0] carver[0] high[0] school[0] is[0] having[0] student[0] elections[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
tracy flick ( reese witherspoon ) is an over-achiever with her hand raised at nearly every question , way , way , high . 	tracy flick ( reese witherspoon ) is an over-achiever with her hand raised at nearly every question , way , way , high .	1	-1	 tracy[0] flick[0] reese[0] witherspoon[0] is[0] an[0] over[0] achiever[0] with[0] her[0] hand[0] raised[0] at[0] nearly[0] every[0] question[0] way[0] way[0] high[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
mr . " m " ( matthew broderick ) , sick of the megalomaniac student , encourages paul , a popular-but-slow jock to run . 	mr .<br> " m " ( matthew broderick ) , sick of the megalomaniac student , encourages paul , a popular-but-slow jock to run .	2	-2	 mr[0] [[Sentence=-1,1=word max, 1-5]] m[0] matthew[0] broderick[0] sick[-1] of[0] the[0] megalomaniac[0] student[0] encourages[1] paul[0] a[0] popular[0] but[0] slow[0] jock[0] to[0] run[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
and paul's nihilistic sister jumps in the race as well , for personal reasons . 	and paul's nihilistic sister jumps in the race as well , for personal reasons .	1	-1	 and[0] paul's[0] nihilistic[0] sister[0] jumps[0] in[0] the[0] race[0] as[0] well[0] for[0] personal[0] reasons[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the dark side of such sleeper success is that , because expectations were so low going in , the fact that this was quality stuff made the reviews even more enthusiastic than they have any right to be . 	the dark side of such sleeper success is that , because expectations were so low going in , the fact that this was quality stuff made the reviews even more enthusiastic than they have any right to be .	3	-2	 the[0] dark[0] side[0] of[0] such[0] sleeper[0] success[2] is[0] that[0] because[0] expectations[0] were[0] so[0] low[-1] going[0] in[0] the[0] fact[0] that[0] this[0] was[0] quality[0] stuff[0] made[0] the[0] reviews[0] even[0] more[0] enthusiastic[2] than[0] they[0] have[0] any[0] right[0] to[0] be[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
you can't help going in with the baggage of glowing reviews , which is in contrast to the negative baggage that the reviewers were likely to have . 	you can't help going in with the baggage of glowing reviews , which is in contrast to the negative baggage that the reviewers were likely to have .	1	-2	 you[0] can't[0] help[0] going[0] in[0] with[0] the[0] baggage[0] of[0] glowing[0] reviews[0] which[0] is[0] in[0] contrast[0] to[0] the[0] negative[-1] baggage[0] that[0] the[0] reviewers[0] were[0] likely[0] to[0] have[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
_election , a good film , does not live up to its hype . 	_election , a good film , does not live up to its hype .	2	-1	 _election[0] a[0] good[1] film[0] does[0] not[0] live[0] up[0] to[0] its[0] hype[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
what makes _election_ so disappointing is that it contains significant plot details lifted directly from _rushmore_ , released a few months earlier . 	what makes _election_ so disappointing is that it contains significant plot details lifted directly from _rushmore_ , released a few months earlier .	1	-2	 what[0] makes[0] _election_[0] so[0] disappointing[-1] is[0] that[0] it[0] contains[0] significant[0] plot[0] details[0] lifted[0] directly[0] from[0] _rushmore_[0] released[0] a[0] few[0] months[0] earlier[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the similarities are staggering : 	the similarities are staggering :	1	-1	 the[0] similarities[0] are[0] staggering[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
